id,logo,trading_name,user_rating,account_currencies,broker_type_id,support_options,account_type,trading_instruments,language,default_language
1,XM_Group-logo.png,XM,0.00,"EUR, USD, GBP, JPY, CHF, AUD, HUF, PLN, RUB, SGD, ZAR",1,"Email, Phone, Live Chat","Micro, Standard, XM Zero, XM Ultra Low, Shares","Forex, Precious Metals, Commodities, Stocks, Shares, Equity Indices, Energies, Cryptocurrencies",en,en
2,FXLider-logo.png,FXLider,0.00,"EUR, USD",1,,,,en,en
3,Exness-logo.png,Exness,0.00,"EUR, USD, GBP, JPY, RUR, PLN, SEK, TRY, ZAR, TWD, GOLD, SILVER",1,"Email, Phone, Live Chat","Standard Cent, Standard, Standard Plus, Pro, Raw Spread, Zero","Forex, Metals, Commodities, Indices, Stocks, Cryptocurrencies",en,en
4,FBS-logo.png,FBS,0.00,"EUR, USD",1,"Email, Phone, Live Chat, WhatsApp, Messanger, Call Back Request","Cent, Standard, Pro","Forex, Metals, Energies, Indices, Stocks, Cryptos",en,en
5,Alpari_UK-logo.png,"Alpari UK",0.00,"AUD, CHF, EUR, GBP, GLD, JPY, USD",1,"Email, Live Chat, Phone","Market, Alpari Direct, Alpari Direct Pro","Commodity CFDs, Forex, Metals, Indices CFDs",en,en
6,Axi-logo.png,Axi,0.00,"EUR, USD, GBP, AUD, CAD, CHF, JPY, HKD, NZD, SGD",1,"Email, Phone, Live Chat","Standard, Pro, Elite","Forex, Metals, Commodities, Indices, Cryptocurrencies",en,en
7,YouTradeFX-logo.png,YouTradeFX,0.00,USD,1,,,,en,en
8,LQD_Markets-logo.png,"LQD Markets",0.00,"AUD, CHF, DKK, EUR, GBP, HUF, JPY, PLN, SEK, USD, ZAR",1,"Email, Live Chat, Phone","Mini, Premium","Commodity Futures CFDs, Forex, Metals, Futures Indices CFDs",en,en
9,Smart_Trade_FX-logo.png,"Smart Trade FX",0.00,"USD, EUR, GBP",1,,,,en,en
10,Tickmill-logo.png,Tickmill,0.00,"EUR, USD, GBP",1,"Email, Phone, Live Chat","Classic, Pro, VIP","Forex, Metals, Commodities, Indices, Bonds, Futures",en,en
11,AvaTrade-logo.png,AvaTrade,0.00,"EUR, USD, GBP, JPY",1,"Email, Phone, Live Chat, Call Back Request, Toll Free Call","MT4 Fixed Spreads, MT4 Floating Spreads, Ava Trader, Ava Options, Mirror Trader, FIX API","Forex, Metals, Commodities, Indices, ETFs, Vanilla Options, Cryptocurrencies",en,en
12,ACFX-logo.png,ACFX,0.00,"EUR, USD, GBP, CHF, JPY, CNY",1,"Email, Phone, Live Chat","Fixed Spreads, Floating Spreads, STP, ECN Pro","Forex, Metals, Commodity CFDs, Equity CFDs, Equity Index CFDs",en,en
13,HF-Markets-logo.png,"HF Markets",0.00,"EUR, USD, PLN, NGN, JPY, ZAR, KES",1,"Email, Phone, Live Chat","Cent, Premium, Zero, Pro, HFCopy, Strategy Provider Pro","Forex, Metals, Commodities, Indices, Stocks, ETFs, Futures, Bonds, Crypto",en,en
14,IronFX-logo.png,IronFX,0.00,"AUD, CHF, EUR, GBP, HUF, JPY, PLN, USD",1,"Email, Live Chat, Phone","Cent (Live Floating), Standard (Live Floating), Premium (Live Floating), VIP (Live Floating), Zero (Live Fixed Spread), No Commission (STP/ECN), Zero Spread (STP/ECN), Absolute Zero (STP/ECN)","Commodity Futures CFDs, Forex, Metals, Stock CFDs",en,en
15,ThinkMarkets-logo.png,ThinkMarkets,0.00,"EUR, USD, GBP, AUD, CAD, JPY, NZD",1,"Email, Phone, Live Chat, Skype","Standard, ThinkZero, ThinkMarkets Pro","Forex, Metals, Commodities, Indices, Cryptocurrencies",en,en
16,FXCC-logo.png,FXCC,0.00,"EUR, USD, GBP",1,"Email, Phone, Live Chat","ECN XL, ECN Standard, ECN Advanced"," Forex, Metals, Equity Index CFDs",en,en
17,IBFX_Australia-logo.png,"IBFX Australia",0.00,"USD, AUD",1,,,,en,en
19,Windsor_Brokers-logo.png,"Windsor Brokers",0.00,"EUR, USD, GBP",1,"Email, Phone, Live Chat, Call Back Request","Prime, Zero, VIP Zero","Forex, Metals, Commodity CFDs, Equity Index CFDs, Equity CFDs, Futures, Bonds, Cryptocurrencies",en,en
20,Orbex-logo.png,Orbex,0.00,"EUR, USD",1,"Email, Phone, Live Chat, Skype, Call Back Request","Fixed, Starter, Premium, Ultimate, FIX API","Forex, Metals, Commodity CFDs, Equity Index CFDs, Futures",en,en
21,Zulutrade-logo.png,Zulutrade,0.00,N/A,1,"Email, Phone, Live Chat",Standard,N/A,en,en
22,aaafx-logo.png,AAAFx,0.00,"USD, EUR, CAD, AUD, CHF",1,"Email, Phone, Live Chat","ECN, ECNplus, ECNzero, Islamic","Forex, Metals, Commodities, Indices, Stocks, Crypto",en,en
23,FxPro-logo.png,FxPro,0.00,"EUR, USD, GBP, CHF, AUD, JPY, PLN, ZAR",1,"Email, Live Chat, Phone","MT4 Instant, MT4 Standard, FxPro Edge, MT4 Fixed, MT5, MT4 Pro, MT4 Raw Plus, MT4 Elite, MT5 Raw Plus, MT5 Elite (VIP), cTrader","Forex, Metals, Energies, Indices, Shares, Futures, Cryptos",en,en
24,FxNet-logo.png,FxNet,0.00,"EUR, USD, GBP, JPY",1,"Email, Phone, Live Chat","Standard, VIP, Platinum","Forex, Metals, Commodity CFDs, Equity CFDs, Equity Index CFDs",en,en
25,FXOpen-logo.png,FXOpen,0.00,"EUR, USD, GBP, AUD, CHF, JPY, RUB, SGD, GOLD, mBTC",1,"Email, Phone, Live Chat","Micro, STP, ECN, Crypto","Forex, Metals, Commodity CFDs, Equity Index CFDs, Cryptocurrencies",en,en
26,AccentForex-logo.png,AccentForex,0.00,USD,1,,,,en,en
27,Pepperstone-logo.png,Pepperstone,0.00,"EUR, USD, GBP, AUD, CHF, JPY, NZD, SGD, HKD",1,"Email, Phone, Live Chat, Skype","Edge Standard, Edge Razor, Edge Swap Free, Edge Active Traders, Islamic","Forex, Metals, Commodity CFDs, Equity Index CFDs, Cryptocurrencies",en,en
28,FXCL_Markets-logo.png,"FXCL Markets",0.00,"EUR, USD",1,"Email, Phone, Live Chat, Skype","Cent, Standard, Interbank Cent, Interbank Standard, ECN Plus, ECN Pro, FIX API","Forex, Metals",en,en
29,LiteForex-logo.png,LiteForex,0.00,"EUR, USD, GBP, AUD, CAD, CHF, CZK, JPY, NZD, PLN, RUB",1,"Email, Phone, Live Chat, ICQ","Cent, Classic, ECN","Forex, Metals, Commodity CFDs, Equity CFDs, Equity Index CFDs",en,en
30,TFI_FX-logo.png,"TFI FX",0.00,"EUR, USD, GBP",1,"Email, Phone",Premium,"Forex, Metals",en,en
31,Markets.com-logo.png,Markets.com,0.00,"USD, EUR, GBP, JPY, CAD, PLN",1,,,,en,en
32,Forex.com-logo.png,Forex.com,0.00,"EUR, USD, GBP, AUD, CAD, CHF, JPY",1,"Email, Phone, Live Chat","Micro, Mini, Standard","Forex, Metals, Commodity CFDs, Equity CFDs, Equity Index CFDs, Futures, Options",en,en
33,Falcon_Brokers-logo.png,"Falcon Brokers",0.00,USD,1,"Email, Live Chat, Phone","Standard, Professional, ECN","Commodity CFDs, Forex, Metals, Stock CFDs, Stock Indices CFDs, Options",en,en
34,FortFS-logo.png,FortFS,0.00,"EUR, USD, RUR",1,"Email, Phone, Live Chat","Newbie, Fort, Flex, Pro","Forex, Metals, Commodity CFDs, Equity CFDs, Equity Index CFDs, Futures, Cryptocurrencies",en,en
35,RoboForex-logo.png,RoboForex,0.00,"EUR, USD, CNY, GOLD",1,"Email, Phone, Live Chat, Skype","ProCent, Pro, ECN, Prime, R StocksTrader, CopyFX Pro","Forex, Metals, Equity Index CFDs, Equity CFDs, ETFs, Crypto CFDs",en,en
36,FinFx-logo.png,FinFx,0.00,"EUR, USD, GBP, CHF",1,"Email, Phone, Live Chat","Micro, ECN, ECN Pro, Signal Trader, Savi Trading","Forex, Metals, Commodity CFDs, Equity Index CFDs",en,en
37,FxPrimus-logo.png,FxPrimus,0.00,"USD, EUR, GBP, SGD, PLN",1,"Email, Phone, Live Chat","PrimusCENT, PrimusCLASSIC, PrimusPRO, PrimusZERO","Forex, Metals, Commodities, Indices, Stocks, Cryptocurrencies",en,en
38,Mayzus-logo.png,Mayzus,0.00,"EUR, USD, GBP, AUD, CAD, CHF, CZK, JPY, NZD, PLN, RUB",1,"Email, Phone, Live Chat, Skype, Call Back Request","STP Mini, STP Classic, STP Platinum, Currenex Classic, Currenex Viking ","Forex, Metals, Commodity CFDs, Equity CFDs, Equity Index CFDs",en,en
39,Forex-Metal-logo.png,Forex-Metal,0.00,"USD, EUR, GBP, AUD, JPY, CHF",1,,,,en,en
40,EasyMarkets-logo.png,EasyMarkets,0.00,"EUR, USD, GBP, AUD, CAD, CHF, JPY, NZD, CNY,CZK, HKD, MXN, NOK, PLN, SEK, SGD, TRY, ZAR",1,"Email, Phone, Live Chat",Standard,"Forex, Metals, Commodity CFDs, Equity Index CFDs, Options, Cryptocurrencies",en,en
41,IC_Markets-logo.png,"IC Markets",0.00,"EUR, USD, GBP, AUD, CHF, JPY, NZD, SGD, HKD, CAD",1,"Email, Phone, Live Chat","Standard, Raw Spread, cTrader Raw Spread","Forex, Metals, Commodities, Indices, Cryptocurrencies",en,en
42,InstaForex-logo.png,InstaForex,0.00,"EUR, USD, RUR",1,"Email, Phone, Live Chat, Skype","Insta.Standard, Insta.Eurica, Cent.Standard, Cent.Eurica","Forex, Metals, Commodity CFDs, Equity CFDs, Equity Index CFDs, Futures, Options, Cryptocurrencies",en,en
44,FXCM_UK-logo.png,"FXCM UK",0.00,"EUR, USD, GBP, CAD, CHF, JPY, NZD",1,"Email, Phone, Live Chat","Mini, Standard, Active Trader, Spread Betting account (UK and Ireland Residents only)","Forex, Metals, Equity CFDs, Equity Index CFDs",en,en
45,FXTM-logo.png,FXTM,0.00,"EUR, USD, GBP",1,"Email, Phone, Live Chat, Skype","Micro, Advantage, Advantage Plus","Forex, Metals, Commodities, Indices, Stocks",en,en
46,Blackwell_Global-logo.png,"Blackwell Global",0.00,"EUR, USD, GBP",1,"Email, Phone, Live Chat","Mini (BVI), Standard (BVI), Standard (BS), ECN (BS), Premium (BS), Turbo (BS)","Forex, Metals, Commodities, Indices",en,en
47,Traders-Trust-logo.png,Traders-Trust,0.00,"EUR, USD, GBP, CHF, JPY",1,"Email, Phone, Live Chat","Classic, Pro, VIP","Forex, Metals, Commodities, Indices, Crypto (available only for accounts under Bermuda and Seychelles jurisdictions)",en,en
48,GCMFX-logo.png,GCMFX,0.00,"EUR, USD, GBP, AUD, CAD, CHF, JPY",1,"Email, Phone, Live Chat","Micro, Standard, Pro","Forex, Metals, Commodity Futures CFDs, Equity Index CFDs",en,en
49,Bulbrokers-logo.png,Bulbrokers,0.00,"EUR, USD",1,"Email, Phone, Live Chat","Forex Fixed, ECN Standard, ECN Premium","Forex, Metals, Commodity CFDs, Equity CFDs, Equity Index CFDs",en,en
50,ETX_Capital-logo.png,"ETX Capital",0.00,"EUR, USD, GBP",1,"Email, Phone","MetaTrader, ETX Trader, ETX Trader Pro, ETX Binary","Forex, Metals, Commodity CFDs, Equity CFDs, Equity Index CFDs, Spread Betting, Binary Options",en,en
51,Hantec_Markets-logo.png,"Hantec Markets",0.00,"EUR, USD, GBP, AUD, AED, CAD, CHF ",1,"Email, Phone, Live Chat","Standard, ECN, FIX API","Forex, Metals, Commodities, Indices, Stocks, Cryptocurrencies",en,en
52,SuperTradingOnline-logo.png,SuperTradingOnline,0.00,"EUR, USD, GBP",1,"Email, Phone, Live Chat","STO Classic, STO Premium, Pro, VIP, AFX Fast","Forex, Metals, Commodity CFDs, Equity CFDs, Equity Index CFDs, Bonds",en,en
53,X_Global_Markets-logo.png,"X Global Markets",0.00,"EUR, USD",1,"Email, Phone, Live Chat, Skype, Call Back Request","XG Raw, XG Standard, XG Islamic","Forex, Metals, Commodity CFDs, Equity Index CFDs, Cryptocurrencies",en,en
56,DirectFX-logo.png,DirectFX,0.00,USD,1,"Email, Phone, Live Chat, Skype","MT4, Tradable, CQG","Forex, Metals, Commodity CFDs, Equity Index CFDs, Bonds",en,en
57,KVB_Kunlun-logo.png,"KVB Kunlun",0.00,USD,1,"Email, Phone, Live Chat","Standard, ECN","Forex, Metals, Commodity CFDs, Futures Index CFDs",en,en
58,Swissquote-logo.png,Swissquote,0.00,"EUR, USD, GBP, CAD, CHF, HKD, HUF, JPY, PLN",1,"Email, Phone, Live Chat","Standard, Premium, Prime, Professional, FIX API","Forex, Metals, Commodities, Indices, Bonds, Options",en,en
59,SpediaFX-logo.png,SpediaFX,0.00,USD,1,"Email, Live Chat, Phone","Micro, Standard, Advanced, Premium","Forex, Metals",en,en
60,OANDA_Europe-logo.png,"OANDA Europe",0.00,"EUR, USD, GBP, AUD, CAD, CHF, HKD, JPY, SGD",1,"Email, Phone, Live Chat","MT4, fxTrade","Forex, Metals, Commodity CFDs, Equity Index CFDs, Bonds",en,en
61,TEST-logo.png,TEST,0.00,,1,,,,en,en
62,Alpha_Capital_Markets-logo.png,"Alpha Capital Markets",0.00,"EUR, USD, GBP",1,"Email, Phone, Live Chat ","Micro, Standard, Premier, DMA","Forex, Metals, Commodity CFDs, Equity CFDs, Equity Index CFDs",en,en
63,FIBO_Group-logo.png,"FIBO Group",0.00,"EUR, USD, GBP, CHF, RUR",1,"Email, Phone, Live Chat","MT4 NDD, MT4 Cent, MT4 NDD No Commission, MT4 Fixed, MT5 NDD, cTrader NDD, FIX API","Forex, Metals, Commodities, Indices, Cryptocurrencies",en,en
64,MXTrade-logo.png,MXTrade,0.00,"EUR, USD, GBP",1,"Email, Phone, Live Chat","Regular, Silver, Gold, Platinum","Forex, Metals, Commodity CFDs,  Equity CFDs, Equity Index CFDs, Futures",en,en
65,hycm-logo.jpg,HYCM,0.00,"USD, EUR, GBP, RUB, AED",1,"Email, Phone, Live Chat, Call Back Request","Fixed, Classic, Raw","Forex, Metals, Commodity CFDs, Equity CFDs, Equity Index CFDs, Cryptocurrencies",en,en
66,Fidelis_CM-logo.png,"Fidelis CM",0.00,USD,1,"Email, Phone, Live Chat, Skype, Call Back Request","Mini, Standard, VIP, ECN Classic, ECN Gold, Rookie Cent, Rookie, Prime, Elite, Unique","Forex, Metals, Commodity CFDs, Equity Index CFDs",en,en
67,ADS_Securities_London-logo.png,"ADS Securities London",0.00,"EUR, USD, GBP",1,"Email, Phone, Live Chat","Standard, ECN, Spread Betting","Forex, Metals, Commodity CFDs, Equity CFDs, Equity Index CFDs, Treasury Bonds, Spread Betting",en,en
69,LMAX_Global-logo.png,"LMAX Global",0.00,"EUR, USD, GBP, AUD, JPY, SGD, HKD, SEK",1,"Email, Phone, Live Chat","Standard, Pro","Forex, Metals, Commodities, Indices, Cryptocurrencies",en,en
70,AMarkets-logo.png,AMarkets,0.00,"EUR, USD, RUR",1,"Email, Phone, Live Chat, Skype, Telegram","Bitcoin, Fixed, Standard, ECN, FIX API","Forex, Metals, Commodities, Indices, Stocks, Treasury Bonds, ETFs, Cryptocurrencies",en,en
71,AETOS_CG-logo.png,"AETOS CG",0.00,"USD, GBP, EUR",1,"Email, Phone, Live Chat, Skype","General, Premium, FIX API","Forex, Metals, Commodity CFDs, Equity CFDs, Equity Index CFDs",en,en
72,Land-FX-logo.png,Land-FX,0.00,"EUR, USD, GBP, JPY",1,"Email, Phone, Live Chat, Call Back Request","Standard, Islamic, Prime, ECN","Forex, Metals, Commodities, Indices",en,en
73,Yadix-logo.png,Yadix,0.00,"EUR, USD",1,"Email, Phone, Live Chat, Skype","Classic, Scalper, Pro","Forex, Metals, Commodities, Indices",en,en
74,Tradeview-logo.png,Tradeview,0.00,"EUR, USD, GBP",1,"Email, Phone, Live Chat","Innovated Liquitity Connector, X Leverage Account","Forex, Metals, Commodity CFDs, Equity CFDs, Equity Index CFDs, US ETFs, Cryptocurrencies",en,en
75,trive-logo.png,Trive,0.00,"USD, EUR, GBP",1,"Email, Phone, Live Chat, Messenger, WhatsApp, Skype, Call back Request","Standard, Raw, ECN Zero, VIP","Forex, Metals, Commodities, Indices, Stocks, Cryptos",en,en
76,FXDD_Malta-logo.png,"FXDD Malta",0.00,"EUR, USD, GBP, JPY",1,"Email, Phone, Live Chat","MetaTrader 4, Mirror Trader, JForex, Viking, Spot Option","Forex, Metals, Commodity CFDs, Equity Index CFDs, Options",en,en
77,Capital_Index-logo.png,"Capital Index",0.00,"EUR, USD, GBP, AUD",1,"Email, Phone, Live Chat","Classic, Advanced, Pro, Islamic","Forex, Metals, Commodity CFDs, Equity Index CFDs",en,en
79,Valutrades-logo.png,Valutrades,0.00,"AUD, CHF, EUR, GBP, JPY, USD, ZAR, NZD, CAD, HKD, NOK, SEK, SGD, MXN",1,"Email, Phone, Live Chat",ECN,"Forex, Metals, Oil, Commodities, Indices",en,en
80,Vipro_Markets-logo.png,"Vipro Markets",0.00,"EUR, USD, GBP, PLN",1,"Email, Phone, Live Chat, Skype","Classic, ECN Pro, VIP","Forex, Metals, Commodity CFDs, Equity Index CFDs, Bonds",en,en
82,KeyStock-logo.png,KeyStock,0.00,"EUR, USD, GBP",1,"Email, Phone, Live Chat","Mini, Standard, Exclusive","Forex, Metals, Commodity CFDs, Equity Index CFDs, Equity CFDs",en,en
83,Trade.com-logo.png,Trade.com,0.00,"EUR, USD, GBP",1,"Email, Phone","Classic, Gold, Platinum","Forex, Metals, Commodity CFDs, Equity Index CFDs, Equity CFDs, Bonds, Cryptocurrencies",en,en
84,GBE_Brokers-logo.png,"GBE Brokers",0.00,"EUR, USD, CHF",1,"Email, Phone, Live Chat, Skype","GBE Classic, GBE Plus, FIX API","Forex, Metals, Commodities, Indices, Treasury Bonds, Cryptocurrencies",en,en
85,Dukascopy_Europe-logo.png,"Dukascopy Europe",0.00," USD, EUR, GBP, CHF, JPY, CAD, AUD, SGD, DKK, NOK, RUB, SEK, PLN, HKD",1,"Email, Phone, Live Chat","Personal, Joint, Corporate, JForex API, FIX API","Forex, Metals, Commodities, Indices, Stocks, Bonds, Cryptocurrencies",en,en
86,Solforex-logo.png,Solforex,0.00,"EUR, USD, JPY, NZD",1,"Email, Phone","Volt-Premium, Volt-Standard, STP-Standard, Volt-Mini, Volt-Swap Free","Forex, Metals",en,en
87,FxGrow-logo.png,FxGrow,0.00,"EUR, USD, PLN",1,"Email, Phone, Live Chat, Skype, Call Back Request","ECN, ECN Plus, ECN VIP, FIX API","Forex, Metals, Commodity CFDs, Equity Index CFDs, Futures CFDs",en,en
88,TrioMarkets-logo.png,TrioMarkets,0.00,"EUR, USD, GBP, CHF",1,"Email, Phone","Basic, Standard, Advanced, Premium","Forex, Metals, Commodities, Indices, Stocks (EU only), Cryptocurrencies",en,en
89,BDSwiss-logo.png,BDSwiss,0.00,"EUR, USD, GBP, CHF, PLN, NOK, SEK, DKK",1,"Email, Phone, Live Chat","Basic, Raw Spread, Black, FIX API","Forex, Metals, Commodity CFDs, Equity Index CFDs, Cryptocurrencies",en,en
90,ForexMart-logo.png,ForexMart,0.00,"EUR, USD, GBP",1,"Email, Phone, Live Chat, Skype, Viber, Telegram, WhatsApp, Call Back Request","Cent, Classic, Pro, Zero Spread","Forex, Metals, Indices, Stocks, Commodities, Cryptocurrencies",en,en
91,Tallinex-logo.png,Tallinex,0.00,"EUR, USD",1,"Email, Phone, Live Chat","ECN-Micro, ECN-Pro, Pro-Managed Micro, Pro-Managed Pro","Forex, Metals, Equity Index CFDs",en,en
92,CentroFX-logo.png,CentroFX,0.00,"EUR, USD, GBP, JPY, PLN, CZK",1,"Email, Phone, Live Chat","Beginner, Professional, VIP","Forex, Metals, Commodity CFDs, Equity Index CFDs, Equity CFDs",en,en
