id,logo,trading_name,user_rating,account_currencies,broker_type_id,support_options,account_type,trading_instruments,language,default_language
93,Matador_Prime-logo.png,"Matador Prime",0.00,"EUR, USD, GBP, JPY",1,"Email, Phone","Classic, ECN","Forex, Metals, Equity Index CFDs",en,en
94,USGFX-logo.png,USGFX,0.00,"EUR, USD, GBP, AUD",1,"Email, Phone, Live Chat, Skype","Mini, Standard, VIP, Pro-ECN","Forex, Metals, Commodities, Indices, Shares, Cryptocurrencies",en,en
95,MaxFX-logo.png,MaxFX,0.00,"EUR, USD, GBP, JPY",1,"Email, Phone, Live Chat","ZeroAccount, ECNMAX, VIPMAX","Forex, Metals, Commodity CFDs, Equity Index CFDs, Equity CFDs",en,en
96,LCG-logo.png,LCG,0.00,"EUR, USD, GBP, CHF",1,"Email, Phone, Live Chat","Classic, ECN","Forex, Metals, Commodities, Indices, Stocks, Futures, Bonds, ETFs, Cryptocurrencies",en,en
97,CM_Trading-logo.png,"CM Trading",0.00,"EUR, USD, GBP",1,"Email, Phone, Live Chat","Mini, Classic, Executive, Premium, FIX API","Forex, Metals, Commodity CFDs, Equity Index CFDs, Cryptocurrencies",en,en
98,ApolloFX-logo.png,ApolloFX,0.00,"EUR, USD, GBP",1,"Email, Phone, Skype, Whatsapp","Silver, Gold, Platinum, ECN","Forex, Metals, Commodity CFDs, Equity Index CFDs",en,en
99,GO_Markets-logo.png,"GO Markets",0.00,"EUR, USD, GBP, AUD, NZD, CHF, SGD",1,"Email, Phone, Live Chat","Standard, GO Plus+","Forex, Metals, Commodities, Indices, Shares",en,en
100,Fortrade-logo.png,Fortrade,0.00,"EUR, USD, GBP",1,"Email, Phone, Live Chat",STP,"Forex, Metals, Commodity CFDs, Equity Index CFDs, Equity CFDs, ETFs, Treasury Bonds, Cryptocurrencies",en,en
101,CMC_Markets-logo.png,"CMC Markets",0.00,"EUR, USD, GBP, AUD, CHF, HKD, NOL, SEK",1,"Email, Phone","Classic, Prime","Forex, Metals, Commodity CFDs, Equity Index CFDs, Equity CFDs, Treasury Bonds",en,en
102,MultiBank_Group-logo.png,"MultiBank Group",0.00,"EUR, USD, GBP, AUD, JPY",1,"Email, Phone, Live Chat","Standard, Pro, ECN","Forex, Metals, Commodities, Indices, Treasury Bonds, Cryptocurrencies",en,en
103,Deltastock-logo.png,Deltastock,0.00,"EUR, USD, GBP, BGN, CHF, RON",1,"Email, Phone, Live Chat","Delta Trading, Deltastock MT4","Forex, Metals, Commodity CFDs, Equity Index CFDs, Equity CFDs, Futures, Cryptocurrencies",en,en
104,Destek_Markets-logo.png,"Destek Markets",0.00,"EUR, USD, GBP",1,"Email, Phone, Live Chat, Skype, WhatsApp","Standard, Gold, VIP, ECN","Forex, Metals, Commodity CFDs, Equity Index CFDs",en,en
105,Vantage-Markets-logo.jpg,"Vantage Markets",0.00,"EUR, USD, AUD, GBP, NZD, SGD, JPY, CAD",1,"Email, Phone, Live Chat","Standard STP, Raw ECN, Pro ECN","Forex, Metals, Commodities, Indices, Stocks, Cryptocurrencies",en,en
107,UGL_Exchange-logo.png,"UGL Exchange",0.00,"EUR, USD",1,"Email, Phone, Live Chat, WhatsApp, Telegram, Viber","Standard, Pro, VIP, FIX API","Forex, Metals, Commodity CFDs, Equity Index CFDs, Cryptocurrencies",en,en
108,Infinox_Capital-logo.png,Infinox,0.00,"EUR, USD, GBP, AUD",1,"Email, Phone, Live Chat","STP, ECN, IX Social","Forex, Metals, Commodities, Indices, Cryptocurrencies",en,en
109,CrescoFX-logo.png,CrescoFX,0.00,"EUR, GBP, USD",1,"Email, Phone, Live Chat, Skype, Viber, WhatsApp, Call Back Request","Standard, FIX API","Forex, Metals, Commodity CFDs, Equity Index CFDs, Equity CFDs, Bonds, Futures, Cryptocurrencies",en,en
110,Eurotrader-logo.png,Eurotrader,0.00,"EUR, USD, GBP",1,"Email, Phone, Live Chat","Micro, Zero, Hero","Forex, Metals, Commodities, Indices, Cryptocurrencies, Stocks",en,en
111,DecodeFX-logo.png,"Decode FX",0.00,"EUR, USD, GBP, AUD",1,"Email, Phone","Standard, Pro","Forex, Metals, Commodities, Indices",en,en
112,NordFX-logo.png,NordFX,0.00,"USD, ETH, BTC",1,"Email, Phone, Live Chat","Fix, Pro, Zero, Savings","Forex, Metals, Commodities, Indices, Equities, Cryptocurrencies",en,en
113,Libertex-logo.png,Libertex,0.00,USD,1,"Email, Phone, Live Chat, WhatsApp, Facebook Messanger",Regular,"Forex, Metals, Commodity CFDs, Equity Index CFDs, Equity CFDs, Cryptocurrencies, ETFs",en,en
114,FP-Markets-logo.png,"FP Markets",0.00,"AUD, USD, EUR, GBP, SGD, CHF, CAD, NZD, JPY, HKD, PLN, MXN, BRL, ZAR",1,"Email, Phone, Live Chat","Standard, Raw","Forex, Metals, Commodities, Indices, Stocks, Cryptos",en,en
115,Capital.com-logo.png,Capital,0.00,"EUR, GBP, USD, PLN",1,"Email, Phone, Live Chat, Viber, WhatsApp, Telegram, Facebook","Retail, Professional","Forex, Metals, Commodities, Indices, Stocks, Cryptocurrencies, ETFs",en,en
116,One-Royal-logo.png,"One Royal",0.00,"EUR, USD, AUD, CAD, GBP, HKD, NZD, SGD, CHF, PLN, LBP, BTC",1,"Phone, Email, Live Chat, WhatsApp, Toll Free Call","Zero Commission (Classic), Zero Commission (VIP), Zero Commission (Cent), ECN (Classic), ECN Elite (VIP)","Forex, Metals, Commodities, Indices, Shares, ETFs, Cryptos",en,en
117,TMGM-logo.png,TMGM,0.00,"USD, AUD",1,"Phone, Email, Live Chat, WhatsApp, Skype","Classic, Edge, Standard, Premium, Pro, ECN","Forex, Metals, Commodities, Indices, Stocks, Cryptocurrencies",en,en
118,TitanFX-logo.png,TitanFX,0.00,"EUR, USD, JPY, AUD, SGD",1,"Email, Live Chat, Phone","Blade, Standard","Forex, Metals, Commodities, Indices",en,en
119,LMFX-logo.png,LMFX,0.00,"EUR, USD",1,"Email, Phone, Live Chat","Premium, Fixed, Zero","Forex, Metals, Commodity CFDs, Equity Index CFDs, Equity CFDs",en,en
120,Global_Prime-logo.png,"Global Prime",0.00,"EUR, USD, CAD, SGD, GBP, AUD",1,"Email, Phone, LiveChat, Skype, Facebook, WhatsApp, Discord, Forums, Call Back Request","ECN, FIX API","Forex, Metals, Commodity CFDs, Equity Index CFDs, Cryptocurrencies",en,en
121,Axiance-logo.jpg,Axiance,0.00,"EUR, USD",1,"Email, Live Chat, Phone","Entry, Standard, Premium, VIP","Forex, Metals, Commodities, Indices, Stocks, Cryptocurrencies",en,en
122,Exante-logo.png,Exante,0.00,"EUR , USD, GBP, JPY, CHF, RUB, SEK, CAD, HKD, MXN, PLN, CNY, NOK, SGD, AUD",1,"Email, Phone, Live Chat","Individual, Corporate, FIX API, Web API","Forex, Metals, Commodity CFDs, Equity Index CFDs, Equity CFDs, ETFs, Futures, Options, Bonds, Cryptocurrencies",en,en
123,Scope-Markets-logo.png,"Scope Markets",0.00,"EUR, USD, GBP",1,"Email, Phone, Live Chat","Standard, Raw","Forex, Metals, Energies, Indices, Futures, Shares, Cryptos",en,en
124,TIOmarkets-logo.png,TIOmarkets,0.00,"USD, GBP, EUR, CAD, AUD, CZK, ZAR",1,"Email, Phone, Live Chat","Spread, Standard, VIP, VIP Black","Forex, Metals, Commodities, Indices, Stocks, Futures, Cryptos",en,en
125,Solidary_Markets_FX-logo.png,"Solidary Markets FX",0.00,"EUR, USD, BTC, ETH",1,"Email, Phone, Live Chat, Skype","Standard, Elite, Top","Forex, Metals, Commodity CFDs, Equity Index CFDs, Cryptocurrency",en,en
126,Blue_Suisse-logo.png,"Blue Suisse",0.00,"EUR, USD, CHF, GBP",1,"Email, Phone, Live Chat, WhatsApp, Telegram, Viber, Call Back Request","Denim Blue, Sky Blue, Sapphire Blue","Forex, Metals, Commodity CFDs, Equity Index CFDs, Cryptocurrencies",en,en
127,Proton_Capital_Markets-logo.png,"Proton Capital Markets",0.00,"EUR, USD, GBP, CHF",1,"Email, Phone, Live Chat, WhatsApp, Telegram, Viber, Call Back Request","Mini, Standard, Pro, Raw Spread","Forex, Metals, Commodities, Indices, Cryptocurrencies",en,en
128,JFD-logo.png,JFD,0.00,"EUR, USD, GBP, CHF",1,"Email, Phone, Live Chat","Individual, Corporate","Forex, Metals, Commodities, Indices, Stocks, ETFs, ETNs, Cryptocurrencies",en,en
129,Charterprime-logo.png,Charterprime,0.00,"EUR, USD, AUD",1,"Email, Phone","Variable, ECN, Swap Free","Forex, Metals, Commodity CFDs, Equity Index CFDs",en,en
130,CWG_Markets-logo.png,"CWG Markets",0.00,"EUR, USD, GBP",1,"Email, Phone, Live Chat","Instant, Classic, Advanced, Institutional","Forex, Metals, Commodities, Indices, Stocks, Futures",en,en
131,NAGA-logo.png,Naga,0.00,"EUR, USD, GBP, PLN, BTC, ETH",1,"Email, Phone, Live Chat","Iron, Bronze, Silver, Gold, Diamond, Crystal","Forex, Metals, Oil, Commodities, Indices, Futures, Stocks, ETFs, Crypto",en,en
132,SGT_Markets-logo.png,"SGT Markets",0.00,"EUR, USD, GBP",1,"Email, Live Chat","Direct, Prime, FIX API","Forex, Metals, Commodities, Indices, Stocks",en,en
133,Errante-logo.png,Errante,0.00,"EUR, USD",1,"Email, Phone, Live Chat, WhatsApp, Telegram, Viber","Standard, Premium, VIP","Forex, Metals, Commodities, Indices, Shares, Cryptocurrencies",en,en
134,xchief-logo.png,ForexChief,0.00,"USD, CHF, GBP, EUR, JPY, RUB",1,"Email, Phone, Live Chat","DirectFX, Classic+, CENT, xPRIME","Forex, Metals, Commodities, Indices, Stocks, Cryptocurrencies",en,en
135,Axiory-logo.png,Axiory,0.00,"EUR, USD",1,"Email, Phone, Live Chat","Nano, Standard, Max, Tera, Alpha","Forex, Metals, Commodities, Indices, Stocks, ETFs",en,en
136,Thunder_Forex-logo.png,"Thunder Forex",0.00,"EUR, USD, CHF, AUD",1,"Email, Phone","Traditional, Raw","Forex, Metals, Commodities, Indices, Shares, Futures",en,en
138,,Bonus,0.00,,1,,,,en,en
139,Fondex-logo.jpg,Fondex,0.00,"USD, EUR, GBP, RUB, JPY, CHF, CNY, CAD, THB, PLN, AUD, MYR, VND, HKD, IDR, MAD, INR, SCR, PKR",1,"Email, Phone, Live Chat","Individual, Corporate","Forex, Metals, Energies, Indices, Stocks, ETFs, Cryptocurrencies",en,en
140,etoro-logo.png,eToro,0.00,USD,1,"Email, Phone, Live Chat","Individual, Corporate","Forex, Metals, Commodities, Indices, Stocks, Cryptocurrencies",en,en
142,Fusion_Markets-logo.png,"Fusion Markets",0.00,"AUD, USD, GBP, EUR, CAD, SGD, JPN, NZD, THB",1,"Email, Phone, Live Chat, Telegram, Facebook Messenger, WhatsAapp","Classic, Zero","Forex, Metals, Commodities, Indices, Cryptos",en,en
143,Currency.com-logo.png,Currency,0.00,"BTC, LTC, BCH, EHT, USDT, XRP, USD, EUR, GBP, BYN, RUB",1,"Email, Live Chat, Messanger, Telegram, Viber, WhatsApp","Individual, Corporate","Forex, Metals, Commodities, Indices, Stocks, Cryptocurrencies",en,en
144,Markets-Vox-logo.png,MarketsVox,0.00,"EUR, USD, GBP",1,"Email, Phone, Live Chat, Skype, WhatsApp, Call Back Request","Cent, Standard, ECN","Forex, Metals, Commodities, Indices, Cryptos",en,en
145,M4Markets-logo.jpg,M4Markets,0.00,"EUR, USD, GBP, JPY",1,"Email, Phone, Live Chat, WhatsApp, Call back request, Skype, Telegram","Standard, Raw Spread, Premium","Forex, Metals, Commodities, Indices, Shares, Cryptocurrencies",en,en
146,CLSA_Premium-logo.png,"CLSA Premium",0.00,"USD, EUR, JPY, NZD",1,"Email, Phone, WhatsApp, Skype","Premium, Premium Pro","Forex, Metals, Commodities, Indices, Shares",en,en
147,FXChoice-logo.png,FXChoice,0.00,"EUR, USD, GBP, AUD, CAD, BTC, BCH, LTC, ETH, XRP, USDT, USDC, DOGE, mAU",1,"Email, Phone, Live Chat","MT4 Classic, MT4 Pro, MT5 Pro, MT5 Pro Hedged","Forex, Metals, Commodities, Indices, Shares, Cryptocurrencies",en,en
148,ACY_Securities-logo.png,"ACY Securities",0.00,"AUD, EUR, GBP, JPY, HKD, TWD, SGD, CNY, CAD, INR, CHF, AED, MYR, PHP, IDR, TBH, VND, Cryptos",1,"Email, Phone, Live Chat, Skype, Messanger, WhatsApp, Call Back Request, Telegram, Toll Free Call","Standard, ProZero, Bespoke","Forex, Metals, Commodities, Indices, Shares, ETFs, Cryptocurrencies",en,en
149,CFI_Financial-logo.png,"CFI Financial",0.00,"USD, EUR, GBP, Others",1,"Email, Phone, Live Chat","Zero Commission, Dynamic Trader","Forex, Metals, Commodities, Indices, Equities, ETFs, Cryptos",en,en
150,Binance-logo.png,Binance,0.00,"EUR, GBP, AUD, TRY, USD, KZT, BRL, HKD, PEN, RUB, UAH, UGX, PHP, PLN, RON, CHF, CNY, CAD, DKK, HUF, INR, IDL, ILS, JPY, NZD, NGN, PEN, SEK, SAR, TWD, THB, VND, VES, ZAR, BTC, ETH, USDT, BNB, EOS",2,"Email, Phone, Live Chat","Individual, Corporate","Spot Crytocurrencies, Futures Cryptocurrencies, Vanilla Options Cryptocurrencies, Leveraged Tokens",en,en
152,MEX_Exchange-logo.png,"MEX Exchange",0.00,"AUD, EUR, USD, GBP",1,"Email, Phone, Live Chat","Classic, ECN","Forex, Metals, Commodities, Indices",en,en
153,Squared_Financial-logo.png,"Squared Financial",0.00,"EUR, USD, GBP, CHF, ZAR",1,"Email, Phone, Live Chat, WhatsApp, anydest, Zoom","SquaredPro, SquaredElite","Forex, Metals, Energies, Indices, Stocks, Futures, Cryptocurrencies",en,en
154,BlackBull-Markets-logo.png,"BlackBull Markets",0.00,"USD, GBP, EUR, AUD, NZD, SGD, JPY, CAD, CHF",1,"Email, Phone, Live Chat","Standard, Prime","Forex, Metals, Commodities, Futures, Indices, Equities, Cryptos",en,en
155,Blueberry_Markets-logo.png,"Blueberry Markets",0.00,"USD, EUR, CAD, SGD, NZD, GBP, AUD",1,,,,en,en
156,Key_To_Markets-logo.png,"Key To Markets",0.00,"EUR, USD, GBP",1,"Email, Phone, Skype, Messanger, WhatsApp, Call Back Request","Standard, Pro","Forex, Metals, Commodities, Indices, Shares, Cryptocurrencies",en,en
157,FreshForex.jpg,FreshForex,0.00,"EUR, USD, BTC",1,"Email, Phone, Live Chat, Call Back Request, Telegram","Cent, Classic, Market Pro, ECN","Forex, Metals, Commodities, Indices, Stocks, Cryptocurrencies",en,en
158,4XC-logo.png,4XC,0.00,"USD, EUR, GBP, BRL",1,"Email, Phone, Live Chat, Call Back Request","Standard, Pro, VIP","Forex, Metals, Commodities, Indices, Crypto",en,en
159,Skilling-logo.png,Skilling,0.00,"USD, EUR, GBP, NOK, SEK",1,"Email, Phone, Live Chat, Messenger, WhatsApp, Telegram","Standard, Premium","Forex, Metals, Commodities, Indices, Shares, Cryptos",en,en
160,fxview-logo.png,Fxview,0.00,"USD, EUR, GBP, AUD, ZAR",1,"Email, Phone, Live Chat","Raw ECN","Forex, Metals, Commodities, Indices, Stocks, Cryptocurrencies",en,en
161,PUPRIME-logo.png,"PU Prime",0.00,"USD, GBP, CAD, AUD, EUR, SGD, NZD, HKD, JPY",1,"Email, Phone, Live Chat, Skype","Standard, Prime, ECN, Pro, Cent, Islamic Standard, Islamic Prime","Forex, Metals, Commodities, Indices, Shares, Cryptos",en,en
162,Equiti-logo.png,Equiti,0.00,"EUR, USD, GBP",1,"Email, Phone, Live Chat, Messenger, WhatsApp, Call back Request","Executive, Executive Swap Free, Premiere, Standard, Standard Swap Free, Advanced, Advanced Swap Free, Elite, Elite Swap Free, Pro, Pro Swap Free, ProPlus, ProPlus Swap Free, Equiti, Equiti Swap Free","Forex, Metals, Commodities, Indices, Shares, Futures, ETFs, Cryptocurrencies",en,en
163,GTC-logo.png,GTC,0.00,USD,1,"Email, Phone, Live Chat, WhatsApp","Cent, Standard, ECN","Forex, Metals, Commodities, Indices, Stocks, Cryptos",en,en
164,Intertrader-logo.jpg,Intertrader,0.00,"EUR, USD, GBP",1,"Email, Phone, Call Back Request","Individual, Corporate, Individual Spread Betting, Corporate Spread Betting","Forex, Metals, Commodities, Indices, Shares, Bonds",en,en
165,ICM-logo.jpg,ICM.com,0.00,"USD, GBP, EUR, JPY, CHF, others",1,"E-mail, Phone, Live Chat, WhatsApp, Social Channels, Call Back Request ","ICM Zero, ICM Direct, ICM Securities","Spot FX CFDs, Cash CFDs, Futures CFDs, Commodities, Soft Commodities, US Stocks CFDs, Global Equities, Crypto CFDs",en,en
166,Ingot-Brokers-logo.png,"Ingot Brokers",0.00,"USD, EUR, GBP, AUD",1,"Email, Phone, Live Chat, Call Back Request","Professional, ECN, Prime","Spot Currencies, Spot Metals, Spot Energies, Spot Indices, EU Stocks, US Stocks, UK Stocks, ETFs, Futures, Cryptocurrencies",en,en
167,gmi-markets-logo.png,"GMI Markets",0.00,USD,1,"Email, Live Chat","Cent, Standard, ECN","Forex, Metals, Commodities, Energies, Indices, Futures",en,en
168,ActivTrades-Logo.png,ActivTrades,0.00,"EUR, USD, GBP",1,"Email, Phone, Live Chat","Individual, Professional, Islamic","Forex, Metals, Commodities, Indices, Stocks, ETFs, Bonds, Cryptos",en,en
169,Startrader-logo.jpg,STARTRADER,0.00,USD,1,"Email, Live Chat","STP, ECN","Forex, Metals, Commodities, Indices, Bonds, Crypto",en,en
170,,TopFX,0.00,,1,,,,en,en
171,Trust-Capital-logo.png,"Trust Capital",0.00,"USD, EUR",1,"Email, Skype, Live chat, Phone, WhatsApp","TrustSolo, TrustTogether","Forex, Metals, Commodities, Energies, Indices, Shares, Cryptos",en,en
172,vt-markets-logo.png,"VT Markets",0.00,"USD, AUD, CAD, GBP, EUR, JPY",1,"Email, Phone, Live Chat, WhatsApp, Call Back Request","Standard STP, VIP STP, RAW ECN","Forex, Metals, Energy, Commodities, Indices, Shares, ETFs, Bonds, Cryptos",en,en
174,Amana-logo.jpg,Amana,0.00,"USD, EUR, GBP",1,"Email, Phone, Live Chat, WhatsApp, Call Back Request, Telegram","Classic, Raw","Forex, Metals, Commodities, Energies, Indices, Share CFDs, Share ETFs, Share ETP, Bonds, Futures, Cryptos",en,en
175,qsq-markets-logo.jpg,"QSQ Markets",0.00,"USD, EUR",1,"Email, Phone, Live Chat, Telegram","Standard, Pro, Elite","Forex, Metals, Commodities, Energies, Indices, Shares, Cryptos",en,en
176,exclusive-markets-logo.png,"Exclusive Markets",0.00,"USD, JPY, EUR, GBP",1,"Email, Phone, Live Chat, Call Back Request","Exclusive, Standard, Standard Plus, Cent, Shares","Forex, Metals, Commodities, Indices, Equities, CFD Stocks, CFD ETFs, CFD Cryptos",en,en
177,doo-prime-logo.png,"Doo Prime",0.00,USD,1,"Email, Phone, Live Chat","Cent, STP, ECN","Forex, Metals, Commodities, Spot Indices, US Stocks CFD, HK Stocks CFD, Futures CFD, Cryptos",en,en
178,finveo-logo.png,FINVEO,0.00,"EUR, USD",1,"Email, Live Chat, Phone, WhatsApp","Standard, Gold, Platinum, ECN Pro","Forex, Metals, Energies, Indices, Futures, Bond CFDs, Equity CFDs",en,en
179,dna-markets-logo.png,"DNA Markets",0.00,"AUD, USD, EUR, GBP, NZD, CAD, SGD",1,"Live Chat, Phone, Email","Standard, Raw","Forex, Metals, Commodities, Indices, Shares, Cryptos",en,en
180,eightcap-logo.png,Eightcap,0.00,"EUR, USD, GBP, AUD",1,"Email, Phone, Live Chat, WhatsApp","Standard, Raw","Forex, Metals, Oil, Commodities, Indices, Shares, Cryptos",en,en
