id,name,country,description
3,"Autoritatea de Supraveghere Financiară din Marea Britanie","Marea Britanie","<p>FCA&nbsp;reglementează&nbsp;industria serviciilor financiare &icirc;n Marea Britanie.</p>

<p>Obiectivul principal este să&nbsp;asigure&nbsp;stabilitatea și buna funcționare a piețelor financiare astfel &icirc;nc&acirc;t consumatorii să&nbsp;primeasca un serviciu corect. Acest lucru &icirc;nseamnă&nbsp;că, industria financiară&nbsp;să&nbsp;funcționeze cu integritate, firmele să&nbsp;ofere clienților produse și servicii corespunzătoare astfel &icirc;nc&acirc;t consumatorii să&nbsp;aibă&nbsp;&icirc;ncredere că&nbsp;firmele au cele mai bune interese pentru a deservii nevoilor acestora.</p>
"
4,"Comisia Pieței de Capital și a Investițiilor a Australiei",Australia,"<p>ASIC este organismul de reglementare a serviciilor corporatiste și a pieței financiare din Australia.</p>

<p>ASIC contribuie la reputația și bunăstarea Australiei prin oferirea asigurării că&nbsp;piețele financiare din Australia sunt corecte și transparente, totodată&nbsp;oferind &icirc;ncredere și inform&acirc;nd continuu investitorii și consumatorii de servicii financiare.</p>
"
5,"Comisia Pieței de Capital și a Valorilor Mobiliare a Republicii Cipru",Cipru,"<p>Comisia Pieței de Capital și a Valorilor Mobiliare a Republicii Cipru (CySEC) este o autoritate publică&nbsp;independentă&nbsp;de supraveghere pentru piața serviciilor de investiții financiare și ale tranzacțiilor de valori mobiliare desfășurate &icirc;n cadrul Republicii Cipriote.</p>

<p>CySEC va executa supervizarea eficientă&nbsp;pentru a asigura protecția investitorilor și dezvoltarea corectă&nbsp;a pieței de capital.</p>
"
6,"Comisia Pieței de Capital a Republicii Elene",Grecia,"<p>HCMC (Comisia Pieței de Capital a Republicii Elene) este unul dintre cele două&nbsp;organisme de reglementare pentru piața financiară&nbsp;din Grecia, cealaltă&nbsp;fiind Banca Națională&nbsp;a Greciei.</p>

<p>HCMC este responsabilă&nbsp;pentru supravegherea aplicării corespunzatoare a legislației pieței de capital. Participa decisiv la formarea cadrului de reglementare a pieței de capital, la nivel național, european și internațional, precum și contribuie activ la operațiunile Consiliului Uniunii Europene, ale ESMA și IOSCO.</p>
"
7,"Comisia de Tranzacționare a Contractelor Futures din Statele Unite","Statele Unite","<p>Misiunea Comisiei de Tranzacționare a Contractelor Futures din Statele Unite&nbsp;(CFTC) este de a promova piețele deschise, transparente, competitive, cu o situație financiară&nbsp;solidă, pentru a evita riscul sistemic și pentru a proteja&nbsp;participanții la piață&nbsp;precum și fondurile acestora, consumatorii și a publicului larg, de fraudă, manipulare și de practici abuzive legate de instrumente financiare derivate și alte produse care sunt supuse tranzacționării pe aceste piețe.</p>
"
8,"Asociatia Națională a Pieței Futures","Statele Unite","<p>&Icirc;ncrederea investitorilor este crucială&nbsp;pentru piețele derivate și cea mai bună&nbsp;cale de a c&acirc;știga &icirc;ncrederea investitorilor este de a asigura faptul că&nbsp;cele mai &icirc;nalte standarde de integritate sunt cerute tuturor participanților și intermediarilor.</p>

<p>Asociația Națională&nbsp;a Pieței Futures (NFA) este un organism de sine stătător, format pentru Industria Pieței Derivate din U.S. NFA se străduiește &icirc;n fiecare zi să&nbsp;supravegheze integritatea pieței, să&nbsp;protejeze investitorii și să&nbsp;ajute membrii săi să-și &icirc;ndeplinească&nbsp;responsabilitățile de reglementare.</p>
"
9,"Banca Centrală a Irlandei",Irlanda,"<p>CBI este responsabilă&nbsp;at&acirc;t pentru politicile Băncii Centrale c&acirc;t și pentru reglementările pieței financiare pentru menținerea stabilității prețurilor &icirc;n Irlanda, prin politici formulate la nivelul Sistemului European (MiFID).</p>

<p>CBI continuă&nbsp;să&nbsp;ofere suport Guvernului pentru a-și &icirc;ndepini rolul privind politicile monetare și programele de criză&nbsp;&icirc;n relația cu Banca Centrală&nbsp;Europeană&nbsp;(ECB) și de asemenea continuă&nbsp;să&nbsp;contribuie cu programe de dezvoltare și analiză&nbsp;&icirc;n cadrul Sistemului European.</p>

<p>CBI contiuă&nbsp;să&nbsp;implementeze at&acirc;t politici monetare standarde c&acirc;t și non-standarde dar și operatiuni la nivel descentralizat.</p>
"
10,"Autoritatea Federală de Supraveghere Financiară din Germania",Germania,"<p>Autoritatea Federală&nbsp;de Supraveghere Financiară din Germania&nbsp;(BaFin) supraveghează&nbsp;băncile/ furnizorii de servicii financiare, brokerii de asigurări și tranzacționarea cu valori mobiliare.</p>

<p>BaFin operează&nbsp;&icirc;n interesul public. Obiectivul său principal este să&nbsp;asigure funcționarea corespunzătoare, stabilitatea și integritatea sistemului financiar German. Clienții bancari, deținătorii de asigurări și investitorii trebuie să&nbsp;aibă&nbsp;&icirc;ncredere &icirc;n sistemul financiar.</p>
"
11,"Autoritatea de Supraveghere a Piețelor Financiare din Elveția",Elveția,"<p>FINMA &icirc;și desfasoară&nbsp;activitatea sa de supraveghetor &icirc;n interesul Centrului Financiar din Elveția pentru investitori, creditori și asiguratori.</p>

<p>Obiectivul principal al organismului de supraveghere al piețelor financiare este să&nbsp;asigure funcționarea corespunzătoare al piețelor financiare și protejarea clienților &icirc;mpotriva insolvenței.</p>
"
12,"Autoritatea Piețelor Financiare din Noua Zeelandă","Noua Zeelandă","<p>Autoritatea Piețelor Financiare (FMA) s-a construit ca o agenție independentă&nbsp;cu un rol determinant &icirc;n reglementarea pieței de capital și a serviciilor financiare &icirc;n Noua Zeelandă.</p>

<p>Ca reglementator al unui sistem bazat pe risc, FMA &icirc;și concentrează&nbsp;resursele acolo unde crede că&nbsp;există&nbsp;un risc semnificativ pentru a se atinge obiectivele.</p>

<p>Viziunea principala a FMA este să&nbsp;promoveze și să&nbsp;faciliteze dezvoltarea onestă, eficientă&nbsp;și transparentă&nbsp;a pieței financiare.</p>
"
13,"Organizația de Reglementare în Industria Investițiilor a Canadei",Canada,"<p>IIROC &icirc;și desfasoară&nbsp;activitatea de reglementator fiind responsabilă&nbsp;de &icirc;ntocmirea și punerea &icirc;n aplicare a legilor privind profesionalismul și modul de gestionare a afacerilor de către firmele de investiții și a angajaților acestora precum și de &icirc;ntocmirea și aplicarea regulilor de intergritate a pieței de capital canadiene privind activitatea de tranzacționare.</p>

<p>Pentru a-și &icirc;ndeplini mandatul de organism reglementator național independent, IIROC este guvernată&nbsp;de principiile integrității, transparenței și onestității.</p>
"
14,"Autoritatea de Servicii Financiare a Republicii Malta",Malta,"<p>MFSA este singurul reglementator pentru activități privind serviciile financiare &icirc;n Malta. Acesta reglementează&nbsp;și supervizează&nbsp;instituțiile financiare și de credit, fondurile de investiții, de hedging respectiv firmele de asigurări și de asemenea activitatea Depozitarului Central.</p>

<p>MFSA emite note de recomandare, monitorizează&nbsp;dezvoltarea locala și internațională, lucrează&nbsp;&icirc;mpreună&nbsp;cu părțile implicate &icirc;n problemele legislative și joacă&nbsp;rolul principal &icirc;n formare profesională. &Icirc;ncurajează&nbsp;standarde ridicate de conformitate și gestionează&nbsp;departamentul de protecție a consumatorilor.</p>
"
15,"Comisia de Servicii Financiare a Republicii Mauritius",Mauritius,"<p>FSC este organismul integrat de reglementare pentru sectorul de servicii financiare (altele decat cele bancare) și a afacerilor globale. FSC licențiază&nbsp;&bdquo;dealeri de investiții&rdquo; și nu brokeri forex.</p>

<p>Reglementările stricte și supravegherea sunt esențiale pentru a asigura stabilitatea sistemului financiar. Obiectivul FSC este de a pozitiona Mauritius ca o jurisdicție importantă&nbsp;cu o balanță&nbsp;corectă&nbsp;&icirc;ntre reglementarea și dezvoltarea afacerilor.</p>
"
16,"Comisia de Servicii Financiare a Insulelor Virgine Britanice","Insulele Virgine Britanice","<p>Comisia pentru Servicii Financiare din Insulele Virgine Britanice este unicul organism de reglementare a serviciilor financiare al teritoriului.</p>

<p>Comisia pentru Servicii Financiare este agenția responsabilă&nbsp;pentru autorizarea și licențierea companiilor sau persoanelor care doresc să&nbsp;&icirc;ntreprindă&nbsp;afaceri &icirc;n domeniul serviciilor financiare, pentru monitorizarea mediului &icirc;n care se desfăsoară&nbsp;aceste servicii financiare și pentru a proteja participanții &icirc;mpotriva oricărui serviciu ilegal sau neautorizat care este oferit &icirc;n și pe teritoriul Insulelor Virgine Britanice.</p>
"
18,"Comisia de Supraveghere Financiara a Bulgariei",Bulgaria,"<p>Principala misiune a instituției este să&nbsp;asiste prin mijloace legale, administrative și informaționale menținerea stabilității și transparenței sectorului financiar nebancar și să&nbsp;asigure protecția consumatorilor de servicii financiare.</p>
"
19,"Banca Centrală a Ciprului",Cipru,"<p>Apărarea stabilității sistemului financiar constituie una dintre principalele sarcini ale Băncii Centrale a Ciprului. Aceasta contribuie la realizarea acestui obiectiv, <em>inter alia</em>, prin realizarea supravegherii micro-prudențiale și a stabilității sistemului bancar.</p>
"
20,"Comisia pentru Servicii Financiare din Belize",Belize,"<p>Comisia pentru Servicii Financiare (FSC) este organismul de reglementare pentru serviciile financiare nebancare din Belize, &icirc;n special pentru acele servicii furnizate de entități licențiate sau &icirc;nregistrate &icirc;n conformitate cu&nbsp;Legea Comisiei pentru Servicii Financiare, Cap. 272 Ediția revizuită 2020&nbsp;și&nbsp;Securities Industry Act, 2021 (SIA).</p>

<p>FSC Belize este un organism statutar independent de autofinanțare care oferă reglementări orientate spre servicii, continuă, bazate pe riscuri, care se bazează pe integritate, responsabilitate, adaptabilitate și fiabilitate.</p>
"
21,"Comisia Pieței de Capital și a celei Derivate din Hong Kong","Hong Kong","<p>SFC reglementează&nbsp;și supraveghează&nbsp;operațiunile de pe piața de capital respectiv de pe piața futures, pentru protejarea investitorilor și pentru promovarea Hong Kong ca un centru financiar internațional, fiind cea mai importantă&nbsp;piață&nbsp;financiară&nbsp;din China.</p>
"
22,"Registrul Furnizorilor de Servicii Financiare din Noua Zeelandă","Noua Zeelandă","<p>Guvernul a creat FSPR ca parte componentă&nbsp;a sa, pentru a face sectorul de servicii financiare mai ușor de monitorizat și transparent.</p>

<p>Scopul acestei instituții este at&acirc;t să&nbsp;ofere publicului larg precum și altori instituții reglementatoare acces la informații despre furnizorii de servicii financiare c&acirc;t și pentru a interzice anumitor entități sau persoane să&nbsp;ofere aceste servicii.</p>
"
23,"Autoritatea de Servicii Financiare a Seychelles",Seychelles,"<p>Rolul Autorității de Servicii Financiare (FSA) este de a crea un mediu favorabil pentru creșterea și dezvoltarea industriei serviciilor financiare din&nbsp;Seychelles, concominent cu strategia de dezvoltare economică&nbsp;a țării și &icirc;n conformitate cu normele locale și internaționale precum și cu Cele mai Bune Practici.</p>

<p>Pe langa rolul de mai sus, FSA Seychelles mai are ca obiectiv protecția participanților din sectorul serviciilor financiare non-bancar din Seychelles, prin construirea unui mediu profesionist și etic.</p>
"
24,"Banca Națională a Bulgariei",Bulgaria,"<p>Obiectivul major al Băncii Naționale a Bulgariei este stabilitatea prețurilor prin asigurarea stabilității monedei locale. Banca Națională&nbsp;a Bulgariei acceptă&nbsp;crearea și funcționarea unor sisteme de plăți eficiente și &icirc;și exercită&nbsp;autoritatea asupra acestora.</p>
"
25,"Centru pentru Reglementarea Instrumentelor Financiare OTC",Rusia,"<p>Centrul pentru Reglementarea Instrumentelor Financiare OTC (CRFIN) este o entitate non-profit, organizată&nbsp;după&nbsp;propriile reguli, care țintesc&nbsp;să&nbsp;acorde piței de retail Forex o importanță&nbsp;sporită&nbsp;&icirc;n cadrul industriei financiare din Rusia.</p>

<p>Misiunea principală&nbsp;este crearea de mecanisme pe segmentul de schimburi valutare al pieței Forex care sunt necesare pentru dezvoltarea, transparența, corectitudinea și performanța mediului de afaceri precum și&nbsp;pentru protecția interesului membrilor participanți.</p>
"
26,"Comisia Financiară PLC","Hong Kong","<p>Comisia Financiară&nbsp;(FinCom PLC) este prima instituție neutră&nbsp;pentru soluționarea disputelor, ce este dedicată&nbsp;pieței Forex și care &icirc;și desfășoară&nbsp;activitatea &icirc;ntr-un mod &icirc;n care transparența, rapiditatea și educația sunt valorile principale.</p>

<p>Comisia Financiară&nbsp;se asigură&nbsp;că&nbsp;traderii si brokerii beneficiază&nbsp;de o rezoluție foarte rapidă, eficientă, &icirc;ntr-o manieră&nbsp;autentică&nbsp;și imparțială&nbsp;și se asigură&nbsp;că&nbsp;toți cei implicați &icirc;n dispută&nbsp;obțin un răspuns bine fundamentat, contribuind per total la creșterea cunoștințelor despre Forex.</p>
"
27,"Autoritatea Monetară a Insulelor Cayman","Insulele Cayman","<p>Pentru a proteja și spori reputația Insulelor Cayman ca al unui centru Financiar Internațional, Autoritatea Monetară&nbsp;a Insulelor Cayman are &icirc;n componența sa o echipă&nbsp;de oameni foarte bine pregătiți și la curent cu tehnologia existentă, care desfășoară&nbsp;activități corespunzatoare, efective și eficiente, de supraveghere și reglementare &icirc;n concordanță&nbsp;cu standardele internaționale &icirc;n vigoare, prin menținerea unui curs de schimb stabil incluz&acirc;nd aici un management prudențial al rezervei valutare.</p>
"
29,"Banca Centrală a Emiratelor Arabe Unite","Emiratele Arabe Unite","<p style=""text-align:justify"">Responsabilitatea principală&nbsp;a Băncii Centrale (CB UAE) este să&nbsp;formuleze și implementeze politici bancare, de creditare și monetare, pentru a asigura creșterea sustenabila a economiei naționale a UAE &icirc;ntr-o maniera echilibrată.</p>

<p style=""text-align:justify"">Banca Centrală&nbsp;(CB UAE) are ca obiectiv menținerea unui curs fix al monedei naționale (dirham) &icirc;n relație cu dolarul american (USD) și de asigura convertibilitatea gratuită&nbsp;a monedei naționale &icirc;n monede străine, pe langa statutul de &quot;Bancă&nbsp;a Băncilor&quot;, Bancă&nbsp;Guvernamentală&nbsp;și consultant financiar.</p>
"
30,"Agenția de Servicii Financiare a Japoniei",Japonia,"<p>JFSA țintește să&nbsp;contribuiască&nbsp;la creșterea nivelului de trai al națiunii prin promovarea creșterii sustenabile a sectorului de afaceri și a economiei:</p>

<ul>
	<li>prin asigurarea unui model eficient și efectiv de intermediere financiară, asigurarea stabilității financiare și a integrității și transparenței pieței;</li>
	<li>prin utilizarea din economia globală&nbsp;a tuturor factorilor ce contribuie la tehnologii de inovație financiară, &icirc;n interesul dezvoltării sistemului financiar național.</li>
</ul>
"
31,"Asociația Financiară a Instrumentelor Derivate a Japoniei",Japonia,"<p>Obiectivele principale ale Asociației Financiare a Instrumentelor Derivate a Japoniei (FFAJ):</p>

<ul>
	<li>Formularea procedurilor de reglementare a membrilor săi, oferindu-le servicii de audit, consultantă&nbsp;și recomandări;</li>
	<li>Găsirea unor soluții rapide la pl&acirc;ngerile investitorilor și medierea &icirc;n relație cu membrii săi;</li>
	<li>Cercetarea și dezvoltarea at&acirc;t a pieței financiare derivate locale c&acirc;t și a celei internaționale, prin utilizarea de date statistice și pregătirea de recomandări pentru creșterea sustenabilă&nbsp;a industriei financiare;</li>
	<li>Emiterea de publicații financiare, susținerea de seminarii și pregătiri profesionale precum și menținerea relației cu publicul prin website-ul său.</li>
</ul>
"
32,"Comisia Piețelor Financiare și de Capital din Letonia",Letonia,"<p>Comisia Pietelor Financiare și de Capital din Letonia este o instituție publică&nbsp;autonomă, care are funcția de supraveghere a sistemului bancar din Letonia, a instituțiilor de credit, a companiilor de asigurare, a companiilor de brokeraj, a participanților la piața instrumentelor financiare precum și a fondurilor de pensii private și a institutiilor de plăți electronice.</p>

<p>Comisia Piețelor Financiare și de Capital asigură&nbsp;stabilitatea, competitivitatea și dezvoltarea piețelor financiare și de capital, precum și protecția investitorilor, deponenților și a persoanelor asigurate.</p>
"
33,"Comisia de Supraveghere Financiară din Vanuatu",Vanuatu,"<p>Comisia Serviciilor Financiare din Vanuatu (VFSC) a fost oficial formată&nbsp;&icirc;n Decembrie 1993, după&nbsp;ce parlamentul Vanuatu a emis ordonanța &quot;Vanuatu Financial Services Commission Act No. 35 of 1993&quot;. &Icirc;nainte de aceasta, instituție se numea &quot;The Registrar of Companies and the Official Receivership Department of the Treasury&quot; p&acirc;nă&nbsp;&icirc;n 1971, fiind sub administrația Britanică&nbsp;iar mai apoi, după&nbsp;independența din iulie 1980, s-a numit &quot;The Ministry of Finance and Economic Management&quot;.</p>

<p>Pe scurt, funcția principală&nbsp;a VFSC este să&nbsp;mențină&nbsp;și să&nbsp;opereze un Registru efectiv și eficient. &Icirc;n plus are &icirc;n atribuții să&nbsp;reglementeze și&nbsp;să&nbsp;supervizeze industria serviciilor financiare non-bancare a Vanuatu. Această&nbsp;funcție include promovarea la nivel internațional a sectorului financiar și protejarea reputației acesteia de oameni de afaceri indezirabili.</p>
"
34,"Comisia de Supraveghere Financiară din Africa de Sud","Africa de Sud","<p>FSB este o instiuție independentă, &icirc;nființată&nbsp;să&nbsp;supravegheze sector financiar non-bancar &icirc;n interesul public, susținută&nbsp;&icirc;n totalitate de către taxele și impozitele percepute &icirc;n industrie.</p>

<p>După&nbsp;mai bine de 20 de ani de reglementare a sectorului financiar non-bancar al Africii de Sud, FSB a devenit o autoritate recunoscută&nbsp;&icirc;n sectorul său de activitate at&acirc;t la nivel local c&acirc;t și internațional. De-a lungul timpului a contribuit la stabilitatea industriei &icirc;n timp ce &icirc;și &icirc;ndeplinea mandatul de a proteja consumatorul de produse și servicii financiare.</p>
"
35,"Comisia de Supraveghere Financiară din British Columbia",Canada,"<p>BCSC este o instituție guvernamentală&nbsp;teritorială&nbsp;responsabilă&nbsp;cu controlul și guvernarea dinamică&nbsp;a pieți de capital datorită&nbsp;autonomiei și ajustabilității. Fiind una din agențiile guvernamentale, raportează&nbsp;către legislația federală&nbsp;responsabilă&nbsp;pentru administrarea pieței de capital. Autofinanțarea BCSC evidențiază&nbsp;faptul că&nbsp;nu plătitorii de taxe ci participanții la piață&nbsp;contribuie la funcționarea pieței de capital.</p>

<p>BCSC &icirc;și asumă&nbsp;responsabilitatea pentru reglementarea pieței de capital &icirc;n British Columbia prin legislatia Federală&nbsp;a Pieței de Capital.</p>

<p>Protejarea și promovarea interesului investitorilor este obiectivul principal al BCSC care poate fi atins doar prin impregnarea următoarelor idei:</p>

<ul>
	<li>O piață&nbsp;echilibrată&nbsp;și transparentă&nbsp;ce garantează&nbsp;certitudinea și &icirc;ncrederea participanților</li>
	<li>Dezvoltarea sectorului pieței de capital prin competitivitate și dinamică&nbsp;promov&acirc;nd astfel oportunități multiple pentru investitorii &icirc;n piata de capital.</li>
</ul>
"
36,"Comisia Pieței de Capital din Ontario",Canada,"<p>Toate piețele de capital din Ontario, &icirc;ncluz&acirc;nd piețele de valori mobiliare, piețele derivate și instrumentele cu venit fix sunt sub reglementarea OSC. Fiind o instituție finanțată&nbsp;din surse proprii, OSC este &icirc;n acelasi timp o instituție guvernamentală. Această&nbsp;&icirc;nseamnă&nbsp;ca OSC este subordonată&nbsp;legislației federale respectiv sub Ministerul de Finanțe.</p>

<p>At&acirc;t &quot;Commodity Futures Act&quot; c&acirc;t și &quot;Securities Act&quot; al provinciei Ontario sunt administrate și subordonate acestui organism. De asemenea &quot;Business Corporations Act&quot;, mai exact c&acirc;teva din prevederile acestuia sunt controlate ți reglementate de c&icirc;tre OSC.</p>

<p>Conform legislației OSC, obligațiile sunt stabilite &icirc;n următoarele sectoare:</p>

<ul>
	<li>Dezvoltarea și aplicarea de reguli ce sporesc securitatea fondurllor investitorilor</li>
	<li>Descurajarea practicilor ce duc &icirc;n eroare investitorii precum și prevenția acestora</li>
	<li>Cultivarea corectitudinii și integrării &icirc;n piețele de capital</li>
	<li>Adoptarea siguranței investitorilor și &icirc;ncrederea &icirc;n piețe</li>
</ul>
"
37,"Autoritatea de Supraveghere Financiară din Danemarca",Danemarca,"<p>Misiunea comisiei de supraveghere financiară&nbsp;din Danemarca este de a supraveghea diverse instituții financiare precum băncile, fondurile mutuale, institutțile de credit și companiile de asigurări. Asigurarea solvabilității este prioritatea de bază&nbsp;a acestei instituții de reglementare. Activitatea de supraveghere &icirc;nseamnă&nbsp;ca toate instituțiile financiare trebuie să&nbsp;dețină&nbsp;fonduri proprii astfel &icirc;nc&acirc;t să-și acopere toate riscurile.</p>

<p>Așadar toate piețele de capital din Danemarca sunt controlate de această&nbsp;organizație. Aceasta supraveghează&nbsp;de asemenea dacă&nbsp;instituțiile financiare &icirc;și &icirc;ndeplinesc &icirc;ndatoririle și obligațiile cu privire la publicarea tuturor infomațiilor (prospecte, informații din interior, etc.). &Icirc;n cele din urmă&nbsp;toate cazurile de abuz de piață&nbsp;sunt sancționate de către Comisia de supraveghere Daneză. &Icirc;n afara&nbsp;activitații de supraveghere, această&nbsp;instituție contribuie la colectarea de date statistice precum și la asistarea &icirc;n dezvoltarea legislației financiare.</p>
"
38,"Autoritatea de Supraveghere a Pieței de Capital din Europa",Europa,"<p>De la 1 Ianuarie 2011 ESMA a &icirc;nceput să&nbsp;funcționeze &icirc;n locul fostei instituții CESR (Comitetul pentru Reglementarea Pieței de Capital din Europa). Cea din urmă&nbsp;a fost o instituție independentă&nbsp;la nivelul Comisiei Europene d&acirc;nd naștere la ESMA. De atunci ESMA și-a asumat responsabilitatea pentru protecția și suportul stabilității sectorului financiar din EU.</p>

<p>Av&acirc;nd o colaborare &icirc;ndeaproape cu EBA, EIOPA și alte organizații europene pentru supravegherea sistemului bancar, a pieței de asigurări și a pensiilor private, au asigurat ESMA &icirc;ntreținerea unei relații armonioase &icirc;n interiorul sectoarelor financiare și a organismelor reglementatoare. Cu toate acestea rolul principal al ESMA răm&acirc;ne neschimbat - de a crea și administra funcționarea corespunzătoare a piețelor de valori mobiliare. Acest lucru &icirc;nseamnă&nbsp;sș&nbsp;ofere piețelor unitate, transparență, eficiență&nbsp;și corectitudine. &Icirc;mbunătățirea și &icirc;ntărirea sectorului de investiții este o altă&nbsp;prioritate a ESMA.</p>
"
39,"Autoritatea de Supraveghere Financiară din Suedia",Suedia,"<p>Comisia pentru supravegherea piețelor financiare din Suedia este o agenție guvernamentală. Aceasta luptă&nbsp;să&nbsp;asigure stabilitatea financiară&nbsp;și drepturile consumatorilor de produse financiare. Fiecare companie implicată&nbsp;&icirc;n piețele financiare din Suedia se află&nbsp;sub jurisdicția și supravegherea FSA. Analiza evolutiei pieței, evaluarea solidității companiilor, industriei și pieței &icirc;n general se afla printre prioritățile FSA. Acord&acirc;nd atenție riscurilor și măsurilor de control, asigurăm conformarea la actele normative &icirc;n viguare.</p>

<p>FSA licențiază&nbsp;orice activitate asociată&nbsp;cu serviciile financiare. Competențele legislative ale FSA implică&nbsp;asigurarea unor standarde și amendamente conform actelor normative &icirc;n viguare. &Icirc;n caz de nerespectare legislației aflate &icirc;n viguare sau de manipulare evidentă&nbsp;a pieței, vor fi demarate investigații imediat at&acirc;t asupra persoanelor și companiilor rezidente &icirc;n Suedia c&acirc;t și asupra celor nerezidente.</p>

<p>FSA elaborează&nbsp;reguli privind contabilitatea și raportarea situatiilor financiare, garant&acirc;nd astfel informarea continuă&nbsp;a publicului &icirc;n legatură&nbsp;cu activitățile desfășurate de companii.</p>
"
40,"Autoritatea de Supraveghere Financiară din Dubai","Emiratele Arabe Unite","<p>Activitatea economica &icirc;n spațiul liber din Dubai este reglementată&nbsp;de DFSA.</p>

<p>Managementul resurselor și a valorilor mobiliare, executarea serviciilor bancare, finanțele islamice, tranzacționarea acțiunilor internaționale și a derivatelor c&acirc;t și sectorul asigurărilor intră&nbsp;sub incidență&nbsp;și competențele DFSA.</p>

<p>Activitatea DFSA este bazată&nbsp;pe principiul riscurilor și evitarea implicațiilor reglementatoare ne-necesare. Mai mult, DFSA precizează&nbsp;clar că&nbsp;obligațiile fiecărei instituții sunt de a se conforma măsurilor de risc stabilite de reglementator.</p>

<p>Sub aceste circumstanțe, prioritățile includ optimizarea riscului de afaceri pentru ciclul economic identificat, evaluarea riscurilor pentru a consolida piața locală&nbsp;și internațională.</p>

<p>Conform DFSA,&nbsp;eficiența reglementărilor bazate pe modelele de risc este mult mai importantă&nbsp;dec&acirc;t modul de implementare.</p>
"
41,"Autoritatea Pieței de Capital și a Mărfurilor din EAU","Emiratele Arabe Unite","<p>Atingerea sarcinilor federale a fost dintotdeauna principalul obiectiv al Autorității Pieței de Capital și a Mărfurilor. Actele sale normative definesc și &icirc;mbunătățesc cadrul legal al companiilor implicate &icirc;n sectorul piețelor mobiliare &icirc;ntărind astfel credibilitatea Autorității.</p>

<p>Autoritatea se luptă&nbsp;&icirc;ncontinuu să&nbsp;&icirc;mbunătățească&nbsp;administrarea companiilor aflate &icirc;n subordine, notific&acirc;ndu-le despre condițiile generale și legile federale relevante c&acirc;t și despre alte acte normative suplimentare.</p>

<p>SCA poate licenția toate piețele de valori mobiliare din EAU ce sunt formate prin interconectarea electronică&nbsp;a instituțiilor publice locale.</p>

<p>Managementul pieței va trebui asigurat de comisiile locale cuprinz&acirc;nd doar acei membrii care nu sunt participanți la piața de capital sub forma de institutii publice-private sau activități ale caselor de brokeraj.</p>

<p>Principalele obiective al acestei agenții sunt:</p>

<ul>
	<li>de a proteja investitorii</li>
	<li>definirea unui comportament adecvat care promovează&nbsp;o afacere corecta și o eficiență&nbsp;a pieței</li>
	<li>adoptarea de măsuri relevante de control.</li>
</ul>
"
42,"Comisia Pieței de Capital din SUA","Statele Unite","<p>SEC &icirc;n Statele Unite asigură&nbsp;protecția investitorilor, menținerea unei piețe corecte, precum și respectarea adecvării capitalului. Principalii participanți ai piaței de valori&nbsp;mobiliare sunt controlați de către aceasta agenție. Principala preocupare a SEC este de a face cunoscut informațiile cu caracter important, protejarea &icirc;mpotriva fraudelor și corectitudinea relațiilor de afaceri.</p>

<p>Investitorii bine educați și raționali sunt cel mai important mecanism al funcționării unei piețe eficiente, deoarece aceștia reprezintă&nbsp;o sursă&nbsp;majoră&nbsp;de informare. O diversitate informațională&nbsp;aliniată&nbsp;cu reputația investitorilor este publicată&nbsp;de către SEC pe site-ul său, incluz&acirc;nd baze de date cu documente supuse analizei și atenționării corespunzătoare.</p>

<p>SEC reglementează&nbsp;și controlează&nbsp;piața valorilor mobiliare din Statele Unite &icirc;n cooperare cu multe alte agenții, incluz&acirc;nd congresul American, o varietate de instituții private și alte organizații. Un lucru important este acela ca, președintele agenției participă&nbsp;&icirc;mpreună&nbsp;cu alte oficialități publice, &icirc;ntr-un grup de lucru al piețelor financiare pentru dezvoltarea acesteia.</p>
"
